2020-05-11 18:56:57 Debug: Notice (8): Undefined index: user_id in [C:\wamp\www\ser\api\controllers\users_controller.php, line 21]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: first_name in [C:\wamp\www\ser\api\controllers\users_controller.php, line 24]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: last_name in [C:\wamp\www\ser\api\controllers\users_controller.php, line 24]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: first_name in [C:\wamp\www\ser\api\controllers\users_controller.php, line 25]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: middle_name in [C:\wamp\www\ser\api\controllers\users_controller.php, line 26]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: last_name in [C:\wamp\www\ser\api\controllers\users_controller.php, line 27]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: gender in [C:\wamp\www\ser\api\controllers\users_controller.php, line 28]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: prefix in [C:\wamp\www\ser\api\controllers\users_controller.php, line 29]
2020-05-11 18:56:57 Debug: Notice (8): Undefined index: suffix in [C:\wamp\www\ser\api\controllers\users_controller.php, line 30]
2020-05-11 18:58:00 Debug: Notice (8): Undefined index: user_id in [C:\wamp\www\ser\api\controllers\users_controller.php, line 21]
2020-05-11 18:58:21 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 29]
2020-05-15 16:22:44 Debug: Notice (8): Undefined variable: watermark in [C:\wamp\www\ser\api\vendors\fpdf17\report_card.php, line 132]
2020-05-15 16:22:45 Debug: Notice (8): Undefined variable: gen_ave_recom in [C:\wamp\www\ser\api\vendors\fpdf17\report_card.php, line 162]
2020-05-15 17:12:55 Debug: Notice (8): Array to string conversion in [C:\wamp\www\ser\api\controllers\reports_controller.php, line 522]
2020-05-15 17:54:06 Debug: Notice (8): Array to string conversion in [C:\wamp\www\ser\api\controllers\reports_controller.php, line 523]
2020-05-15 17:54:49 Debug: Notice (8): Undefined variable: averages in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 37]
2020-05-15 17:54:49 Debug: Notice (8): Undefined index: second_sem in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 38]
2020-05-15 17:54:50 Debug: Notice (8): Undefined variable: averages in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 38]
2020-05-15 17:54:50 Debug: Notice (8): Undefined index: first_sem in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 209]
2020-05-15 17:54:50 Debug: Notice (8): Undefined index: second_sem in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 250]
2020-05-15 17:57:47 Debug: Notice (8): Undefined variable: averages in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 37]
2020-05-15 17:57:47 Debug: Notice (8): Undefined index: second_sem in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 38]
2020-05-15 17:57:47 Debug: Notice (8): Undefined variable: averages in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 38]
2020-05-15 17:57:47 Debug: Notice (8): Undefined index: first_sem in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 209]
2020-05-15 17:57:47 Debug: Notice (8): Undefined index: second_sem in [C:\wamp\www\ser\api\vendors\fpdf17\second_sem_reportcard.php, line 250]
2020-05-15 17:59:21 Debug: Notice (8): Undefined variable: averages in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 37]
2020-05-15 17:59:21 Debug: Notice (8): Undefined index: second_sem in [C:\wamp\www\ser\api\views\reports\test_reportcard.ctp, line 38]
